기준연도,기준분기,노선명,거리_필터,대분류,매출금액,가게수,점포당_평균매출
2017.0,1.0,경기도_대조군,Control,과학·기술,19475721100.0,729,26715666.80384088
2017.0,1.0,김포골드라인,500,과학·기술,96903258.0,4,24225814.5
2017.0,1.0,김포골드라인,2000,과학·기술,194847659.0,12,16237304.916666666
2017.0,1.0,안산선,500,과학·기술,235352722.0,10,23535272.2
2017.0,1.0,안산선,2000,과학·기술,447938636.0,89,5033018.382022472
2017.0,1.0,진접선,500,과학·기술,5470023.0,2,2735011.5
2017.0,1.0,진접선,2000,과학·기술,3850839.0,2,1925419.5
2017.0,1.0,하남선_1단계,2000,과학·기술,56173224.0,12,4681102.0
2017.0,1.0,하남선_2단계,500,과학·기술,14410611.0,1,14410611.0
2017.0,1.0,하남선_2단계,2000,과학·기술,33208177.0,2,16604088.5
2017.0,2.0,경기도_대조군,Control,과학·기술,16993521115.0,729,23310728.55281207
2017.0,2.0,김포골드라인,500,과학·기술,64588825.0,4,16147206.25
2017.0,2.0,김포골드라인,2000,과학·기술,220503351.0,12,18375279.25
2017.0,2.0,안산선,500,과학·기술,309767174.0,10,30976717.4
2017.0,2.0,안산선,2000,과학·기술,445859949.0,86,5184418.011627907
2017.0,2.0,진접선,500,과학·기술,6101754.0,2,3050877.0
2017.0,2.0,진접선,2000,과학·기술,22177705.0,3,7392568.333333333
2017.0,2.0,하남선_1단계,2000,과학·기술,55125639.0,12,4593803.25
2017.0,2.0,하남선_2단계,500,과학·기술,38695770.0,1,38695770.0
2017.0,2.0,하남선_2단계,2000,과학·기술,84294625.0,2,42147312.5
2017.0,3.0,경기도_대조군,Control,과학·기술,17597711927.0,729,24139522.53360768
2017.0,3.0,김포골드라인,500,과학·기술,43144732.0,4,10786183.0
2017.0,3.0,김포골드라인,2000,과학·기술,205497566.0,11,18681596.90909091
2017.0,3.0,안산선,500,과학·기술,285062699.0,10,28506269.9
2017.0,3.0,안산선,2000,과학·기술,415901353.0,83,5010859.674698795
