name,distance_category,측정항목,분기,인구수
강일역,500m ~ 2000m,계_0~9세,2017Q1,6902.333333
강일역,500m ~ 2000m,계_0~9세,2017Q2,7031.333333
강일역,500m ~ 2000m,계_0~9세,2017Q3,7062
강일역,500m ~ 2000m,계_0~9세,2017Q4,7120.666667
강일역,500m ~ 2000m,계_0~9세,2018Q1,7504
강일역,500m ~ 2000m,계_0~9세,2018Q2,7719
강일역,500m ~ 2000m,계_0~9세,2018Q3,7866.333333
강일역,500m ~ 2000m,계_0~9세,2018Q4,7923.333333
강일역,500m ~ 2000m,계_0~9세,2019Q1,7822.666667
강일역,500m ~ 2000m,계_0~9세,2019Q2,7761.333333
강일역,500m ~ 2000m,계_0~9세,2019Q3,7688.666667
강일역,500m ~ 2000m,계_0~9세,2019Q4,7586.666667
강일역,500m ~ 2000m,계_0~9세,2020Q1,7478.333333
강일역,500m ~ 2000m,계_0~9세,2020Q2,7325.666667
강일역,500m ~ 2000m,계_0~9세,2020Q3,7226.666667
강일역,500m ~ 2000m,계_0~9세,2020Q4,7073.666667
강일역,500m ~ 2000m,계_0~9세,2021Q1,6896
강일역,500m ~ 2000m,계_0~9세,2021Q2,6726
강일역,500m ~ 2000m,계_0~9세,2021Q3,6552.333333
강일역,500m ~ 2000m,계_0~9세,2021Q4,6322
강일역,500m ~ 2000m,계_0~9세,2022Q1,6075
강일역,500m ~ 2000m,계_0~9세,2022Q2,5939
강일역,500m ~ 2000m,계_0~9세,2022Q3,5768.666667
강일역,500m ~ 2000m,계_0~9세,2022Q4,5582
강일역,500m ~ 2000m,계_0~9세,2023Q1,5391.333333
강일역,500m ~ 2000m,계_0~9세,2023Q2,5235.666667
강일역,500m ~ 2000m,계_0~9세,2023Q3,5073.333333
강일역,500m ~ 2000m,계_0~9세,2023Q4,4907
강일역,500m ~ 2000m,계_0~9세,2024Q1,4753.333333
강일역,500m ~ 2000m,계_0~9세,2024Q2,4600
강일역,500m ~ 2000m,계_0~9세,2024Q3,4504
강일역,500m ~ 2000m,계_0~9세,2024Q4,4418.666667
강일역,500m ~ 2000m,계_100세 이상,2017Q1,4
강일역,500m ~ 2000m,계_100세 이상,2017Q2,2
강일역,500m ~ 2000m,계_100세 이상,2017Q3,1
강일역,500m ~ 2000m,계_100세 이상,2017Q4,1
강일역,500m ~ 2000m,계_100세 이상,2018Q1,1
강일역,500m ~ 2000m,계_100세 이상,2018Q2,2.333333333
강일역,500m ~ 2000m,계_100세 이상,2018Q3,3
강일역,500m ~ 2000m,계_100세 이상,2018Q4,3
강일역,500m ~ 2000m,계_100세 이상,2019Q1,3
강일역,500m ~ 2000m,계_100세 이상,2019Q2,3
강일역,500m ~ 2000m,계_100세 이상,2019Q3,3
강일역,500m ~ 2000m,계_100세 이상,2019Q4,5
강일역,500m ~ 2000m,계_100세 이상,2020Q1,5.333333333
강일역,500m ~ 2000m,계_100세 이상,2020Q2,7.333333333
강일역,500m ~ 2000m,계_100세 이상,2020Q3,7.333333333
강일역,500m ~ 2000m,계_100세 이상,2020Q4,7
강일역,500m ~ 2000m,계_100세 이상,2021Q1,6.666666667
강일역,500m ~ 2000m,계_100세 이상,2021Q2,6
강일역,500m ~ 2000m,계_100세 이상,2021Q3,6
강일역,500m ~ 2000m,계_100세 이상,2021Q4,6.333333333
강일역,500m ~ 2000m,계_100세 이상,2022Q1,5.333333333
강일역,500m ~ 2000m,계_100세 이상,2022Q2,5
강일역,500m ~ 2000m,계_100세 이상,2022Q3,4
강일역,500m ~ 2000m,계_100세 이상,2022Q4,3.666666667
강일역,500m ~ 2000m,계_100세 이상,2023Q1,4.333333333
강일역,500m ~ 2000m,계_100세 이상,2023Q2,5
강일역,500m ~ 2000m,계_100세 이상,2023Q3,5
강일역,500m ~ 2000m,계_100세 이상,2023Q4,5.333333333
강일역,500m ~ 2000m,계_100세 이상,2024Q1,4.333333333
강일역,500m ~ 2000m,계_100세 이상,2024Q2,5
강일역,500m ~ 2000m,계_100세 이상,2024Q3,5
강일역,500m ~ 2000m,계_100세 이상,2024Q4,4
강일역,500m ~ 2000m,계_10~19세,2017Q1,3635.333333
강일역,500m ~ 2000m,계_10~19세,2017Q2,3752
강일역,500m ~ 2000m,계_10~19세,2017Q3,3863
강일역,500m ~ 2000m,계_10~19세,2017Q4,4019
강일역,500m ~ 2000m,계_10~19세,2018Q1,4330
강일역,500m ~ 2000m,계_10~19세,2018Q2,4519.666667
강일역,500m ~ 2000m,계_10~19세,2018Q3,4692.333333
강일역,500m ~ 2000m,계_10~19세,2018Q4,4816.333333
강일역,500m ~ 2000m,계_10~19세,2019Q1,4865.333333
강일역,500m ~ 2000m,계_10~19세,2019Q2,4899.333333
강일역,500m ~ 2000m,계_10~19세,2019Q3,4932
강일역,500m ~ 2000m,계_10~19세,2019Q4,4984.666667
강일역,500m ~ 2000m,계_10~19세,2020Q1,5033.666667
강일역,500m ~ 2000m,계_10~19세,2020Q2,5139.666667
강일역,500m ~ 2000m,계_10~19세,2020Q3,5188.666667
강일역,500m ~ 2000m,계_10~19세,2020Q4,5295.666667
강일역,500m ~ 2000m,계_10~19세,2021Q1,5380
강일역,500m ~ 2000m,계_10~19세,2021Q2,5482
강일역,500m ~ 2000m,계_10~19세,2021Q3,5518.666667
강일역,500m ~ 2000m,계_10~19세,2021Q4,5594
강일역,500m ~ 2000m,계_10~19세,2022Q1,5700.333333
강일역,500m ~ 2000m,계_10~19세,2022Q2,5806.333333
강일역,500m ~ 2000m,계_10~19세,2022Q3,5925.666667
강일역,500m ~ 2000m,계_10~19세,2022Q4,6036.666667
강일역,500m ~ 2000m,계_10~19세,2023Q1,6117.666667
강일역,500m ~ 2000m,계_10~19세,2023Q2,6168.333333
강일역,500m ~ 2000m,계_10~19세,2023Q3,6208.333333
강일역,500m ~ 2000m,계_10~19세,2023Q4,6277.333333
강일역,500m ~ 2000m,계_10~19세,2024Q1,6350.666667
강일역,500m ~ 2000m,계_10~19세,2024Q2,6398
강일역,500m ~ 2000m,계_10~19세,2024Q3,6419.666667
강일역,500m ~ 2000m,계_10~19세,2024Q4,6443
강일역,500m ~ 2000m,계_20~29세,2017Q1,3629.666667
강일역,500m ~ 2000m,계_20~29세,2017Q2,3780.666667
강일역,500m ~ 2000m,계_20~29세,2017Q3,3830.333333
강일역,500m ~ 2000m,계_20~29세,2017Q4,3981.666667
강일역,500m ~ 2000m,계_20~29세,2018Q1,4142.333333
강일역,500m ~ 2000m,계_20~29세,2018Q2,4236.333333
강일역,500m ~ 2000m,계_20~29세,2018Q3,4400
강일역,500m ~ 2000m,계_20~29세,2018Q4,4571
강일역,500m ~ 2000m,계_20~29세,2019Q1,4573
강일역,500m ~ 2000m,계_20~29세,2019Q2,4586.333333
강일역,500m ~ 2000m,계_20~29세,2019Q3,4574.666667
강일역,500m ~ 2000m,계_20~29세,2019Q4,4583
강일역,500m ~ 2000m,계_20~29세,2020Q1,4561.666667
강일역,500m ~ 2000m,계_20~29세,2020Q2,4595.666667
강일역,500m ~ 2000m,계_20~29세,2020Q3,4583.333333
강일역,500m ~ 2000m,계_20~29세,2020Q4,4570.666667
강일역,500m ~ 2000m,계_20~29세,2021Q1,4533.666667
강일역,500m ~ 2000m,계_20~29세,2021Q2,4495.333333
강일역,500m ~ 2000m,계_20~29세,2021Q3,4468
강일역,500m ~ 2000m,계_20~29세,2021Q4,4417.666667
강일역,500m ~ 2000m,계_20~29세,2022Q1,4384
강일역,500m ~ 2000m,계_20~29세,2022Q2,4313.333333
강일역,500m ~ 2000m,계_20~29세,2022Q3,4245
강일역,500m ~ 2000m,계_20~29세,2022Q4,4199.666667
강일역,500m ~ 2000m,계_20~29세,2023Q1,4168.333333
강일역,500m ~ 2000m,계_20~29세,2023Q2,4171
강일역,500m ~ 2000m,계_20~29세,2023Q3,4126
강일역,500m ~ 2000m,계_20~29세,2023Q4,4104
강일역,500m ~ 2000m,계_20~29세,2024Q1,4079.666667
강일역,500m ~ 2000m,계_20~29세,2024Q2,4073
강일역,500m ~ 2000m,계_20~29세,2024Q3,4047
강일역,500m ~ 2000m,계_20~29세,2024Q4,4005.333333
강일역,500m ~ 2000m,계_30~39세,2017Q1,8787
강일역,500m ~ 2000m,계_30~39세,2017Q2,8971.333333
강일역,500m ~ 2000m,계_30~39세,2017Q3,8990.333333
강일역,500m ~ 2000m,계_30~39세,2017Q4,9031.666667
강일역,500m ~ 2000m,계_30~39세,2018Q1,9438
강일역,500m ~ 2000m,계_30~39세,2018Q2,9627.333333
강일역,500m ~ 2000m,계_30~39세,2018Q3,9805
강일역,500m ~ 2000m,계_30~39세,2018Q4,9983.666667
강일역,500m ~ 2000m,계_30~39세,2019Q1,9753
강일역,500m ~ 2000m,계_30~39세,2019Q2,9641
강일역,500m ~ 2000m,계_30~39세,2019Q3,9461
강일역,500m ~ 2000m,계_30~39세,2019Q4,9310
강일역,500m ~ 2000m,계_30~39세,2020Q1,9074.666667
강일역,500m ~ 2000m,계_30~39세,2020Q2,8834.333333
강일역,500m ~ 2000m,계_30~39세,2020Q3,8700.333333
강일역,500m ~ 2000m,계_30~39세,2020Q4,8487.333333
강일역,500m ~ 2000m,계_30~39세,2021Q1,8218
강일역,500m ~ 2000m,계_30~39세,2021Q2,7978
강일역,500m ~ 2000m,계_30~39세,2021Q3,7728.333333
강일역,500m ~ 2000m,계_30~39세,2021Q4,7534.666667
강일역,500m ~ 2000m,계_30~39세,2022Q1,7272.666667
강일역,500m ~ 2000m,계_30~39세,2022Q2,7126.666667
강일역,500m ~ 2000m,계_30~39세,2022Q3,7015.333333
강일역,500m ~ 2000m,계_30~39세,2022Q4,6816
강일역,500m ~ 2000m,계_30~39세,2023Q1,6656
강일역,500m ~ 2000m,계_30~39세,2023Q2,6581.333333
강일역,500m ~ 2000m,계_30~39세,2023Q3,6484
강일역,500m ~ 2000m,계_30~39세,2023Q4,6417
강일역,500m ~ 2000m,계_30~39세,2024Q1,6281
